Date,Close
02-Jan-2014,6221.15
03-Jan-2014,6211.15
06-Jan-2014,6191.45
07-Jan-2014,6162.25
08-Jan-2014,6174.6
09-Jan-2014,6168.35
10-Jan-2014,6171.45
13-Jan-2014,6272.75
14-Jan-2014,6241.85
15-Jan-2014,6320.9
16-Jan-2014,6318.9
17-Jan-2014,6261.65
20-Jan-2014,6303.95
21-Jan-2014,6313.8
22-Jan-2014,6338.95
23-Jan-2014,6345.65
24-Jan-2014,6266.75
27-Jan-2014,6135.85
28-Jan-2014,6126.25
29-Jan-2014,6120.25
30-Jan-2014,6073.7
31-Jan-2014,6089.5
03-Feb-2014,6001.8
04-Feb-2014,6000.9
05-Feb-2014,6022.4
06-Feb-2014,6036.3
07-Feb-2014,6063.2
10-Feb-2014,6053.45
11-Feb-2014,6062.7
12-Feb-2014,6084
13-Feb-2014,6001.1
14-Feb-2014,6048.35
17-Feb-2014,6073.3
18-Feb-2014,6127.1
19-Feb-2014,6152.75
20-Feb-2014,6091.45
21-Feb-2014,6155.45
24-Feb-2014,6186.1
25-Feb-2014,6200.05
26-Feb-2014,6238.8
28-Feb-2014,6276.95
03-Mar-2014,6221.45
04-Mar-2014,6297.95
05-Mar-2014,6328.65
06-Mar-2014,6401.15
07-Mar-2014,6526.65
10-Mar-2014,6537.25
11-Mar-2014,6511.9
12-Mar-2014,6516.9
13-Mar-2014,6493.1
14-Mar-2014,6504.2
18-Mar-2014,6516.65
19-Mar-2014,6524.05
20-Mar-2014,6483.1
21-Mar-2014,6493.2
22-Mar-2014,6494.9
24-Mar-2014,6583.5
25-Mar-2014,6589.75
26-Mar-2014,6601.4
27-Mar-2014,6641.75
28-Mar-2014,6695.9
31-Mar-2014,6704.2
01-Apr-2014,6721.05
02-Apr-2014,6752.55
03-Apr-2014,6736.1
04-Apr-2014,6694.35
07-Apr-2014,6695.05
09-Apr-2014,6796.2
10-Apr-2014,6796.4
11-Apr-2014,6776.3
15-Apr-2014,6733.1
16-Apr-2014,6675.3
17-Apr-2014,6779.4
21-Apr-2014,6817.65
22-Apr-2014,6815.35
23-Apr-2014,6840.8
25-Apr-2014,6782.75
28-Apr-2014,6761.25
29-Apr-2014,6715.25
30-Apr-2014,6696.4
02-May-2014,6694.8
05-May-2014,6699.35
06-May-2014,6715.3
07-May-2014,6652.55
08-May-2014,6659.85
09-May-2014,6858.8
12-May-2014,7014.25
13-May-2014,7108.75
14-May-2014,7108.75
15-May-2014,7123.15
16-May-2014,7203
19-May-2014,7263.55
20-May-2014,7275.5
21-May-2014,7252.9
22-May-2014,7276.4
23-May-2014,7367.1
26-May-2014,7359.05
27-May-2014,7318
28-May-2014,7329.65
29-May-2014,7235.65
30-May-2014,7229.95
02-Jun-2014,7362.5
03-Jun-2014,7415.85
04-Jun-2014,7402.25
05-Jun-2014,7474.1
